Player,Year,Salary
Devin Vassell,2020,4033440
PJ Washington,2020,4023600
Dorian Finney-Smith,2020,4000000
Patrick McCaw,2020,4000000
Alex Len,2020,3970648
Terrance Ferguson,2020,3944013
Miles Bridges,2020,3934320
Austin Rivers,2020,3929049
Jevon Carter,2020,3925000
Jarrett Allen,2020,3909902
Nicolo Melli,2020,3897436
OG Anunoby,2020,3872215
Gabriel Deck,2020,3870370
Tyrese Haliburton,2020,3831840
Tyler Herro,2020,3822240
Patrick Patterson,2020,3814771
Stanley Johnson,2020,3804150
Jake Layman,2020,3761085
Jerome Robinson,2020,3737520
Danuel House,2020,3717000
Kira Lewis,2020,3640200
Romeo Langford,2020,3631200
Wesley Matthews,2020,3623000
Bobby Portis,2020,3623000
