Year,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,ORTG,DRTG,TO_100_Games,Salary,Cap Maximum,Salary%OfCap,Traded,Center,Forward,Guard,Salary_Scaled,Salary_BoxCox,Salary_Scaled_BoxCox
2021,Richaun Holmes,Sac,F,28.44,45,23.9,49.7,15.8,90,0.778,295,0.664,5,0.4,0.6562666666666668,0.689,10.4,7.0,16.0,1.1,6.8,0.38,0.93,7.2,128.2,105.0,14.2,10384500.0,112414000,0.0924,0,0,1,0,10384500.0,77.46217278851582,99.55741709670423
2015,Xavier Munford,Mem,SG,23.0,14,17.5,36.4,18.0,14,0.5,54,0.426,23,0.391,0.35714935064935066,0.481,5.7,2.2,7.2,1.6,14.3,0.93,0.21,6.2,,,15.299999999999999,123548.0,70000000,0.0018,0,0,0,1,198407.49817142857,34.792241993449714,45.44791829938779
2013,Ray Allen,Mia,SG,38.0,73,26.3,54.2,16.9,116,0.905,234,0.53,309,0.375,0.33509668508287294,0.59,9.6,2.8,6.7,2.0,11.2,0.74,0.1,5.7,,,12.3,3229050.0,58679000,0.055,0,0,0,1,6186036.345200157,63.12075635267132,90.06154778210157
2014,Shawne Williams,Mia,SF,28.0,63,14.8,30.8,16.8,40,0.9239999999999999,122,0.45899999999999996,178,0.2745,0.291625,0.481,4.6,2.3,9.0,0.6000000000000001,6.949999999999999,0.345,0.3,5.1,,,9.15,1145685.0,63065000,0.0182,0,0,1,0,2042195.093792119,52.470429698738464,72.53044406215372
2016,Bismack Biyombo,Orl,C,24.0,81,22.1,46.1,13.2,234,0.534,339,0.528,0,0.0,0.528,0.546,6.0,7.0,17.2,0.9,6.0,0.31,1.12,6.1,,,17.7,17000000.0,94143000,0.1806,0,1,0,0,20299310.623200875,84.3707288367755,113.25851086468744
2021,Gabriel Deck,Okc,F,27.12,7,7.9,16.5,12.4,0,0.0,10,0.6,4,0.5,0.5,0.643,2.6,0.9,5.5,0.7,13.9,0.14,0.0,6.0,121.0,114.4,12.5,1690507.0,112414000,0.015,0,0,1,0,1690507.0,56.262300126781255,69.8797385165518
2013,Chauncey Billups,Det,SG,37.0,19,16.0,32.7,15.3,12,0.833,31,0.323,48,0.292,0.21545569620253166,0.427,3.8,1.5,5.0,2.2,19.0,0.42,0.05,5.8,,,22.900000000000002,2500000.0,58679000,0.0426,0,0,0,1,4789362.4635729985,60.323130611094854,85.69250066432464
2014,TJ Warren,Pho,SF,21.0,40,15.4,32.0,18.1,19,0.737,193,0.56,21,0.238,0.5167242990654206,0.551,6.1,2.1,7.6,0.6,6.6,0.45,0.23,5.1,,,10.8,1953120.0,63065000,0.031,0,0,1,0,3481456.1433441686,57.73130463196041,80.52566047570609
2016,Jerryd Bayless,Phi,PG,28.0,3,23.8,49.7,27.5,10,0.9,27,0.333,5,0.4,0.31221875,0.453,11.0,4.0,9.3,4.3,29.1,0.0,0.0,9.6,,,19.8,9424084.0,94143000,0.1001,0,0,0,1,11253082.8503022,76.1653580034221,101.11218495074525
2018,Brandon Ingram,Lal,F,21.61,52,33.9,70.5,23.2,289,0.675,634,0.522,94,0.33,0.4759038461538462,0.555,18.3,5.2,7.9,3.0,12.9,0.54,0.6,7.8,104.2,106.0,13.2,5757120.0,101869000,0.0565,0,0,1,0,6353069.99852752,69.88343181204161,90.52831368083281
